name,email,date_of_birth,mobile_no,above_18
William Dixon,William_Dixon@woodward-fuller.biz,19860110,40601711,True
Kristen Horn,Kristen_Horn@lin.com,19740910,737931,True
Kimberly Chang,Kimberly_Chang@johnson-lopez.biz,19740227,2692047,True
Mary Ball,Mary_Ball@stevens.biz,19680205,886359,True
Benjamin Craig,Benjamin_Craig@berry.net,19881211,696429,True
Cathy Werner,Cathy_Werner@martinez.net,20180925,7138041,False
Brandon Bell,Brandon_Bell@johnson-burgess.com,19611027,768543,True
Paul Farley,Paul_Farley@payne-taylor.com,19801122,8196105,True
Sarah Mcdaniel,Sarah_Mcdaniel@hughes-simon.com,20170426,12556,False
Caroline Anderson,Caroline_Anderson@blair-phillips.com,19880227,5818212,True
Carl Jones,Carl_Jones@coleman.com,19930621,220035,True
Scott Lee,Scott_Lee@phillips.com,20100712,52145751,False
Kaylee Coleman,Kaylee_Coleman@hammond.com,20091008,156657,False
Charles Parker,Charles_Parker@morris-keller.com,19801220,92921,True
Susan Hess,Susan_Hess@sharp-hodges.net,19500521,46541,True
Kiara Collier,Kiara_Collier@chandler.biz,19590521,955551,True
Mr. Scott Martinez,Scott_Martinez@goodwin.com,19920216,369441,True
Christopher Ortega,Christopher_Ortega@perez.biz,19590618,9968155,True
Michael Russell,Michael_Russell@nunez-wright.com,20130120,6400283,False
Dwayne Johnson,Dwayne_Johnson@contreras-boyd.com,20061110,115935,False
Deanna Sherman,Deanna_Sherman@wright-sanchez.org,19750425,143073,True
Douglas Francis,Douglas_Francis@king-cross.org,19921221,1535885,True
Vicki Diaz,Vicki_Diaz@macdonald-day.com,19931005,165459,True
Robin Phillips,Robin_Phillips@krause.net,19740715,69531,True
Travis Rice,Travis_Rice@bradley.net,20060508,3631 6303,False
Ashley Rocha,Ashley_Rocha@hicks.info,19560911,7046565,True
Sarah Jacobson,Sarah_Jacobson@mclean-jacobs.info,19580309,6107 1779,True
Kayla Shannon,Kayla_Shannon@hendricks-hunter.org,19840517,51323743,True
Joseph Torres,Joseph_Torres@johnson.com,19550505,34376,True
Kim Jones,Kim_Jones@little.net,19850211,34401,True
Melissa Tanner,Melissa_Tanner@johnson.net,19890430,70391,True
Sonya Foster,Sonya_Foster@garcia-browning.com,19881009,143877,True
Mr. Thomas Rivera,Thomas_Rivera@guzman-avila.com,19510715,843813,True
Jamie Silva,Jamie_Silva@hill.com,20060621,469791,False
Kathleen Moore,Kathleen_Moore@avila.info,19520203,609093,True
Evelyn Pineda,Evelyn_Pineda@sullivan-collins.net,19580204,8819217,True
Kyle Peters,Kyle_Peters@cole-edwards.com,19950825,346701,True
Anthony Cruz,Anthony_Cruz@burns.com,19550222,1742399,True
Gary Harper,Gary_Harper@bell-mueller.com,19980111,77546,True
Linda Johnson,Linda_Johnson@williams.biz,19590729,828207,True
Melissa Smith,Melissa_Smith@carroll.org,19971208,9831067,True
Kristen Floyd,Kristen_Floyd@robinson.com,19930525,4685654,True
William Diaz,William_Diaz@cruz-norris.com,19870216,97811,True
Benjamin Smith,Benjamin_Smith@christian-contreras.com,19871223,9583 5639,True
David Glenn,David_Glenn@jenkins-mcfarland.org,20110615,960561,False
Dawn Jones,Dawn_Jones@ashley-johnson.com,20070302,91686479,False
Joel Smith,Joel_Smith@walker-roth.biz,19710909,8287875,True
